"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 01 10:02:01 CST 2020","Tue Sep 01 10:02:01 CST 2020","115","case","login_test","TestLogin","","","错误密码，登陆失败","错误密码，登陆失败"
"passed","Tue Sep 01 10:02:01 CST 2020","Tue Sep 01 10:02:01 CST 2020","140","case","login_test","TestLogin","","","正确账号密码，登陆成功","正确账号密码，登陆成功"
